"CRT0 Packages","CRT0 Packages"
"Lock Panel","Bloquear Painel"
"General Configuration","Configurações Gerais"
"Module Enable","Habilitar Módulo"
"API Password","Senha da API"
"Excess of administrative users","Exceção de usuários administrativos"
"Custom error message","Mensagem de erro customizada"
"Administrative Panel locked","Painel Administrativo bloqueado"
"Painel Administrativo não bloqueado","Painel Administrativo não bloqueado"
"Administrative Panel not locked","Painel Administrativo não bloqueado"
"Error locking the admin panel","Erro ao bloquear o painel administrativo"
"Admin panel successfully unlocked","Painel administrativo desbloqueado com sucesso"
"Error unlocking the admin panel","Erro ao desbloquear o painel administrativo"